ordinal rank,word,total occurrences,number of documents with word
1,the,6004,91
2,and,4456,91
3,to,3370,93
4,a,2430,87
5,of,2379,88
6,for,1765,87
7,in,1526,88
8,that,1259,82
9,system,1141,64
10,with,776,79
11,is,756,83
12,be,695,71
13,this,692,80
14,or,692,73
15,as,630,80
16,state,622,48
17,are,620,71
18,category,580,49
19,from,559,79
20,on,558,81
21,can,557,73
22,sub,522,7
23,role,501,51
24,by,450,78
25,data,448,26
26,project,438,45
27,tasks,428,48
28,theory,413,52
29,operations,388,32
30,it,387,72
31,s,387,55
32,roles,354,53
33,these,343,46
34,design,340,44
35,components,334,45
36,task,317,28
37,self,309,32
38,morphisms,303,39
39,file,301,39
40,within,300,45
41,an,298,67
42,each,296,50
43,structure,295,45
44,name,291,43
45,ansible,291,51
46,changes,282,37
47,oa,282,13
48,use,278,69
49,srs,274,6
50,management,271,43
51,configuration,269,40
52,example,269,56
53,based,268,48
54,conversation,267,12
55,will,266,39
56,schema,265,20
57,using,263,47
58,p,255,7
59,c,253,11
60,documentation,252,41
61,ensuring,250,50
62,how,247,60
63,into,245,55
64,ui,244,6
65,ensure,236,52
66,set,233,50
67,user,232,28
68,between,231,48
69,functors,231,35
70,if,230,55
71,f,230,14
72,meta,229,24
73,files,227,33
74,all,224,45
75,action,224,19
76,not,221,63
77,code,216,38
78,complex,216,34
79,process,215,38
80,create,214,47
81,new,213,38
82,should,213,44
83,template,213,21
84,systems,212,32
85,your,210,46
86,through,208,39
87,dynamic,208,27
88,text,207,21
89,any,205,42
90,branch,203,16
91,you,202,32
92,integration,200,35
93,variables,199,35
94,we,196,38
95,b,195,9
96,where,193,49
97,orchestration,192,40
98,key,188,27
99,different,187,42
100,context,186,34
101,directory,185,21
102,other,184,51
103,updates,181,21
104,lenses,181,5
105,structured,180,33
106,specific,180,35
107,yml,179,33
108,interactions,177,35
109,manage,177,42
110,specification,177,20
111,path,175,30
112,git,174,23
113,repository,169,21
114,g,168,23
115,templates,167,20
116,gpt,167,17
117,yaml,167,21
118,i,166,23
119,its,161,49
120,objects,161,32
121,their,159,31
122,our,156,22
123,tags,153,15
124,concepts,152,34
125,description,151,35
126,playbook,151,38
127,used,150,57
128,development,149,39
129,d,149,14
130,graph,148,12
131,storage,147,21
132,md,146,11
133,requirements,145,41
134,define,144,34
135,framework,143,37
136,luks,143,12
137,across,143,29
138,section,143,29
139,approach,142,33
140,discuss,142,10
141,lens,141,12
142,such,140,39
143,component,134,24
144,content,134,19
145,current,133,35
146,architect,130,35
147,which,130,33
148,here,128,32
149,when,126,35
150,actions,126,20
151,like,125,34
152,generate,124,33
153,defined,124,22
154,states,124,38
155,def,124,5
156,but,123,40
157,provide,123,32
158,need,123,35
159,implement,123,25
160,object,122,28
161,summary,120,19
162,information,120,46
163,managing,119,33
164,btrfs,119,11
165,ensures,118,32
166,version,118,25
167,consistency,118,27
168,e,118,28
169,readme,116,11
170,update,116,23
171,edge,115,13
172,script,115,18
173,main,115,35
174,more,114,31
175,id,114,9
176,goal,114,20
177,parameters,114,40
178,structures,114,24
179,vars,114,29
180,type,113,20
181,feedback,113,15
182,interaction,112,21
183,one,112,30
184,initial,112,30
185,functor,111,22
186,morphism,111,24
187,automated,110,21
188,value,110,11
189,also,108,35
190,detailed,108,22
191,discussion,108,12
192,rendering,108,5
193,gpm,108,4
194,bootstrap,107,24
195,function,107,19
196,tag,106,10
197,document,105,34
198,include,105,50
199,store,104,10
200,mathcal,104,3
201,playbooks,103,24
202,list,103,40
203,map,103,30
204,automation,102,18
205,generation,102,27
206,fragments,102,14
207,speech,102,8
208,at,101,38
209,return,101,5
210,act,101,16
211,fragment,101,8
212,categorical,101,12
213,both,100,24
214,environment,99,29
215,work,99,21
216,str,98,3
217,next,98,23
218,only,96,37
219,application,96,24
220,have,95,25
221,format,95,22
222,allows,94,33
223,allowing,94,33
224,branches,94,11
225,documents,94,17
226,architecture,93,27
227,uses,93,43
228,integrity,93,22
229,functions,92,17
230,creation,91,29
231,principles,91,31
232,must,91,17
233,order,90,19
